product_name,product_url,product_image,brand,ingredients,size,category
L'Oreal Paris Glycolic Bright 8% [Melasyl + Niacinamide] Face Serum for Brightening Dark Spots 15ml,https://www.amazon.in/dp/B0B9QYVGT3,https://m.media-amazon.com/images/I/31Q4dL4U08L._AC_UL320_.jpg,L'Oreal Paris,"1% Glycolic Acid, 2% Niacinamide, 0.2% Salicylic Acid",15 ml (Pack Of 1),Serums
"Gabit 20% Vitamin C Face Serum for Glowing Skin | Brightening Serum for Dark Spots, Dull Skin, Tanned Skin | Improves Wrinkles | Hyaluronic, Ferulic, CiCa, Prebiotic, Probiotic | Oil & PEG free |30 ml",https://www.amazon.in/dp/B0CP56LJZD,https://m.media-amazon.com/images/I/51zTKxy5zbL._AC_UL320_.jpg,Gabit,"Aqua, 3-O-Ethyl Ascorbic Acid, Pentylene Glycol, Ethoxydiglycol, Propanediol, Glycerine, Sodium Hyaluronate, Bifida Ferment Lysate, Gluconolactone, Sodium Benzoate, Ferulic Acid, Inulin, Centella Asiatica Extract, Cyclodextrin",30 ml (Pack of 1),Serums
Foxtale Vitamin C Super Glow Face Wash with Papaya enzyme | Reduces Tan | Boosts Glow | Gently Exfoliates & Brightens Skin | Reduces Pigmentation | Face Wash for Men & Women- 100ml,https://www.amazon.in/dp/B0F6444T7P,https://m.media-amazon.com/images/I/51v2Sp8-GDL._AC_UL320_.jpg,FoxTale,"Aqua, Decyl Glucoside; Sodium Cocoamphoacetate; Glycerin; Cocamidopropyl Betaine;Coco-Glucoside;Glyceryl Oleate, Acrylates Copolymer, PEG-7 Glyceryl Cocoate, Sodium Cocoyl Isethionate, Glycol Distearate, Castoryl Maleate, Bis-PEG-18 Methyl Ether Dimethyl Silane, Phenoxyethanol, Ethylhexylglycerin, Papain, 3-O-Ethyl Ascorbic Acid, Glyceryl Glucoside, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Polyquaternium-7, Disodium EDTA, Triethanolamine, Allergen Free Fragrance, CI 16255, CI 15985",100 ml (Pack of 1),Face Wash
The Derma Co Sali-Cinamide Anti-Acne Face Serum - 30 ml | Fights active acne | Fades acne marks & scars | Controls excess oil | Unclogs pores | Reduces redness & inflammation,https://www.amazon.in/dp/B0C2H5CS97,https://m.media-amazon.com/images/I/61kHmAoCe+L._AC_UL320_.jpg,The Derma Co,"Aqua, 1, 3-Propanediol, Ethoxydiglycol, Niacinamide, Glycerin, Salicylic Acid, Dimethyl Isosorbide, Pentylene Glycol, Methylpropanediol, Pullulan, Sodium Hyaluronate, Xanthan Gum, Hordeum Vulgare Extract, Methyl Gluceth-20, Algin, PEG-40 Hydrogenated Castor Oil, Phenoxyethanol, Sodium Hydroxide, Trisodium Ethylenediamine Disuccinate, Tris(Tetramethylhydroxypiperidinol) Citrate, Propylene Glycol, Citric Acid, Calcium Chloride, Sodium Benzoate, Potassium Sorbate, Ethylhexylglycerin",30 ml (Pack of 1),Serums
"Cetaphil Paraben, Sulphate-Free Gentle Skin Hydrating Face Wash Cleanser with Niacinamide, Vitamin B5 for Dry to Normal, Sensitive Skin - 125 ml",https://www.amazon.in/dp/B01CCGW4OE,https://m.media-amazon.com/images/I/71t9JRry+3L._AC_UL320_.jpg,Cetaphil,"Aqua, Glycerin, Cetearyl Alcohol, Panthenol, Niacinamide, Pantolactone, Xanthan Gum, Sodium Cocoyl Isethionate, Sodium Benzoate, Citric Acid",125 ml (Pack of 1),Face Wash
"Plum Green Tea Renewed Clarity Night Gel Mini | Hydrates Skin & Fights Acne | Lightweight, Quick-Absorbing, Non-Sticky Gel Texture | Oily, Acne-Prone Skin | 100% Vegan(15ml)",https://www.amazon.in/dp/B0B9X1RNTL,https://m.media-amazon.com/images/I/41WzjR4DH0L._AC_UL320_.jpg,Plum,"Aqua (Water), Aloe Barbadensis Leaf Juice, Betaine, Ammonium Acryloyldimethyltaurate/VP Copolymer, Argania Spinsosa (Argan) Oil, Phenoxyethanol, Glycolic Acid, Ethylhexylglycerin, Glycyrrhiza Glabra (Licorice) Root Extract, Camellia Sinensis (Green Tea) Leaf Extract, Salix Nigra (Willow) Bark Extract, Ginkgo Biloba Leaf Extract, Lycium Barbarum (Goji) Fruit Extract, Fragrance, CI 19140, CI 42090",15 ml,Moisturizers
"The Face Shop Rice Water Bright Foaming Face Wash 50ml, Face Wash for Glowing Skin, Cleanser for Uneven Skin Tone, Korean Skin Care Products, Face Wash For Oily skin",https://www.amazon.in/dp/B0BSXLSDBH,https://m.media-amazon.com/images/I/51AFBUJZ+OL._AC_UL320_.jpg,The Face Shop,"RICE WATER TO BRIGHTEN THE SKIN, SOAPWORT FOR DEEP CLEANSING, MORINGA OIL FOR MOISTURIZATION",50 ml (Pack of 1),Face Wash
"Garnier Skin Naturals, Facewash, Cleansing and Brightening, Bright Complete, 100 g",https://www.amazon.in/dp/B006LX9K92,https://m.media-amazon.com/images/I/61Vp0-XHx2L._AC_UL320_.jpg,Garnier,"WATER, GLYCERIN, MYRISTIC ACID, PALMITIC ACID, STEARIC ACID, POTASSIUM HYDROXIDE, LAURIC ACID, GLYCERYL DISTEARATE, GLYCERYL STEARATE, KAOLIN, PEG-14M, LINALOOL, FRAGRANCE, SALICYLIC ACID, PHENOXYETHANOL, LIMONENE, TETRASODIUM EDTA, LEMON FRUIT EXTRACT, CITRUS JUNOS FRUIT EXTRACT, BUTYLENE GLYCOL, BENZYL SALICYLATE, BENZYL ALCOHOL",100 g (Pack of 1),Face Wash
"Garnier Vitamin C + Face Serum for Skin Brightening & Anti-Dark Spots|100X Stronger than Vit C |2% Niacinamide 0.5% Salicylic Acid/BHA |Suitable for Oily, Dry, Sensitive Skin |For Men & Women 30ml",https://www.amazon.in/dp/B08FTQXWC7,https://m.media-amazon.com/images/I/51-0Yb6kfJL._AC_UL320_.jpg,Garnier,vitamin c,30 ml (Pack of 1),Serums
"Dot & Key Watermelon Cooling Sunscreen SPF 50+ PA++++ | With Hyaluronic Acid, Instantly Cools Skin, Broad Spectrum Protection | Controls Excess Oil, Checks Tanning, No White Cast, All Skin Types | 50g",https://www.amazon.in/dp/B0BQN2YWN5,https://m.media-amazon.com/images/I/610JZURd5NL._AC_UL320_.jpg,,"Aqua, Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Benzophenone-3, Phospholipids, 1,3 Butylene Glycol, Glycerin, Starch, C12-15 Alkyl Benzoate, Titanium Dioxide, Silica, Dimethicone, Aloe Barbadensis Leaf Juice, Ethylhexyl Palmitate, Isopropyl Myristate, Citrullus Lanatus (Watermelon) Fruit Extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sorbitan Stearate, Sucrose Cocoate, Sodium Lactate, Glyceryl Stearate, PEG-100 Stearate, Betaine, Fructooligosaccharides, Beta Vulgaris (Beet) Root Extract, Tocopheryl Acetate, Menthyl Lactate, Oxothiazolidine, Phenoxyethanol, Sodium Benzoate, Sodium Hydroxide, Sodium Gluconate, Sodium Hyaluronate.",50 g (Pack of 1),Sunscreen
"Minimalist Oil Control & Anti-Acne 10% Niacinamide Face Serum with Zinc | Skin Clarifying,Blemishes & Pore Care for All Skin Types | 30ml (Pack of 1)",https://www.amazon.in/dp/B08F9MF314,https://m.media-amazon.com/images/I/51fo5Cdx4YL._AC_UL320_.jpg,Minimalist,"Niacinamide, Matmarine",30 ml (Pack of 1),Serums
Mamaearth Rice Face Wash With Rice Water & Niacinamide for Glass Skin | For Hydrated & Even skin Tone | Korean skin Care | All skin Types | For Men & Women | 100 ml,https://www.amazon.in/dp/B09Z65JJ69,https://m.media-amazon.com/images/I/51COhKQY9iL._AC_UL320_.jpg,Mamaearth,"Myristic Acid, Glycerin, Aqua, Potassium Hydroxide, Propylene Glycol, Stearic Acid, Decyl Glucoside, Lauric Acid, Ethylene Glycol Distearate, Glyceryl Monostearate, Sodium PCA, Phenoxyethanol, Fermented Rice Water, Polyquaternium-7, Niacinamide, Titanium Dioxide, Glyceryl Glucoside, IFRA Certified Allergen Free Fragrance, Vitamin E, Butylated Hydroxytoluene & Disodium EDTA.",100 ml (Pack of 1),Face Wash
"Minimalist Anti-Acne Salicylic Acid 2% Face Wash For Oily & Acne Prone Skin | With LHA for Pore Cleansing, Oil Control & Sebum Regulation | Sulfate-Free Formula with Zinc for Gentle Exfoliation | Cleanser for Women & Men | 100 ml",https://www.amazon.in/dp/B096PJMGPL,https://m.media-amazon.com/images/I/514PVblwPdL._AC_UL320_.jpg,Minimalist,Capryloyl Salicylic Acid (LHA),100 ml (Pack of 1),Face Wash
