product_url,is_brand_confirmed,manufacturer_url,product_description
L'Oreal Paris Glycolic Bright 8% [Melasyl + Niacinamide] Face Serum for Brightening Dark Spots 15ml,Yes,https://www.lorealparis.co.in/glycolic-bright/anti-dark-spot-brightening-serum-15ml,Try L’Oréal Paris Glycolic Bright Dark Spot Brightening Serum with Melasyl™ - a new-age skin brightening face serum that's more effective & impactful than ever!
Foxtale Vitamin C Super Glow Face Wash with Papaya enzyme | Reduces Tan | Boosts Glow | Gently Exfoliates & Brightens Skin | Reduces Pigmentation | Face Wash for Men & Women- 100ml,Yes,https://foxtale.in/products/super-glow-face-wash,"This Super Glow Face Wash, enriched with Vitamin C and Papaya Enzyme, gently removes impurities, exfoliates dead skin, and removes tan for a glowing, even skin tone."
The Derma Co Sali-Cinamide Anti-Acne Face Serum - 30 ml | Fights active acne | Fades acne marks & scars | Controls excess oil | Unclogs pores | Reduces redness & inflammation,Yes,https://thedermaco.com/product/sali-cinamide-anti-acne-serum-with-2-salicylic-acid-5-niacinamide-30ml,"Buy The Derma Co Sali-Cinamide Anti-Acne Serum with 2% Salicylic Acid & 5% Niacinamide. Targets acne, fades marks, and controls excess oil for clear skin."
"Cetaphil Paraben, Sulphate-Free Gentle Skin Hydrating Face Wash Cleanser with Niacinamide, Vitamin B5 for Dry to Normal, Sensitive Skin - 125 ml",Yes,https://www.cetaphil.in/on/demandware.store/Sites-Galderma-IN-Site/en_IN/__SYSTEM__Page-Render?cid=pdp&params=%7b%22custom%22%3a%22%7b%5c%22action%5c%22%3a%5c%22Product-Show%5c%22%2c%5c%22queryString%5c%22%3a%5c%22pid%3d8906005274105%5c%22%2c%5c%22locale%5c%22%3a%5c%22en_IN%5c%22%2c%5c%22Transactional%5c%22%3a%7b%7d%2c%5c%22tracking_consent%5c%22%3anull%2c%5c%22CurrentPageMetaData%5c%22%3a%7b%5c%22title%5c%22%3a%5c%22Buy%20Gentle%20Skin%20Cleanser%20for%20All%20Skin%20Types%20%7c%20Cetaphil%5c%22%2c%5c%22description%5c%22%3a%5c%22Buy%20Gentle%20Skin%20Cleanser%20with%20Niacinamide%20hydrates%2c%20protects%2c%20%26%20soothes%20dry%2c%20sensitive%20skin%20without%20irritation%2e%20Perfect%20for%20all%20skin%20types%2e%20Shop%20now%21%20%7c%20Cetaphil%5c%22%2c%5c%22keywords%5c%22%3a%5c%22Cetaphil%20Gentle%20Skin%20Cleanser%20%26%20Facewash%20-%20125ML%5c%22%2c%5c%22pageMetaTags%5c%22%3a%5b%7b%7d%2c%7b%7d%5d%7d%2c%5c%22sortedProducts%5c%22%3a%5c%228906005273413%2c8906005272997%2c8906005371648%2c8906005273420%2c30,"Designed with a science backed blend of niacinamide (essential vitamin B3) , panthenol (pro-vitamin B5) and hydrating glycerin to help improve the resilience of ..."
"Plum Green Tea Renewed Clarity Night Gel Mini | Hydrates Skin & Fights Acne | Lightweight, Quick-Absorbing, Non-Sticky Gel Texture | Oily, Acne-Prone Skin | 100% Vegan(15ml)",Yes,https://plumgoodness.com/collections/hydrate-nourish,"India's first 100% vegan beauty brand. Get best offers on Skincare, Haircare, Bodycare, Makeup & more at Plum Goodness."
"The Face Shop Rice Water Bright Foaming Face Wash 50ml, Face Wash for Glowing Skin, Cleanser for Uneven Skin Tone, Korean Skin Care Products, Face Wash For Oily skin",Yes,https://thefaceshop.in/products/rice-water-bright-cleansing-foam,"Award-winning rice water cleanser with 30M+ tubes sold. Brightens, hydrates & removes impurities. Whipped cream texture for glass-like skin."
"Garnier Vitamin C + Face Serum for Skin Brightening & Anti-Dark Spots|100X Stronger than Vit C |2% Niacinamide 0.5% Salicylic Acid/BHA |Suitable for Oily, Dry, Sensitive Skin |For Men & Women 30ml",Yes,https://www.garnier.in/about-our-brands/skin-naturals/bright-complete/vitamin-c-face-serum,"Tired of dull skin, pigmentation, and dark spots? Breathe new life into your skin and get a radiant, healthy, and glowing complexion with the new Garnier Vitamin C Serum, Garnier’s most concentrated spot-reduction formula. The Garnier Vitamin C serum is an antioxidant-rich face serum, which brightens your skin from the first application and reduces dark spots and acne marks in just three days. Include the Garnier serum into your skincare routine right away to achieve faster and more visible results effortlessly!"
"Minimalist Oil Control & Anti-Acne 10% Niacinamide Face Serum with Zinc | Skin Clarifying,Blemishes & Pore Care for All Skin Types | 30ml (Pack of 1)",Yes,https://beminimalist.co/products/niacinamide-10-with-matmarine,"Balance oil & calm acne with soothing 10% Niacinamide Serum by Minimalist + zinc. Repairs skin barrier & removes acne scars & blemishes. Fragrance-free, CLEAN."
Mamaearth Rice Face Wash With Rice Water & Niacinamide for Glass Skin | For Hydrated & Even skin Tone | Korean skin Care | All skin Types | For Men & Women | 100 ml,Yes,https://mamaearth.in/product/rice-face-wash-with-rice-water-niacinamide-for-glass-skin-100-ml,Mamaearth Rice Face Wash with Flat 20% Off -100ml
"Minimalist Anti-Acne Salicylic Acid 2% Face Wash For Oily & Acne Prone Skin | With LHA for Pore Cleansing, Oil Control & Sebum Regulation | Sulfate-Free Formula with Zinc for Gentle Exfoliation | Cleanser for Women & Men | 100 ml",Yes,https://beminimalist.co/products/salicylic-lha-2-cleanser,"A daily, gentle exfoliating, face cleanser. It contains Salicylic Acid in 2 forms, which in combination provide deep cleaning, pore decongestion & sebum reduction without drying out the skin. It not only reduces active acne but also reduces the chances of future breakouts."
